Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
29/12/2023;1.59;1.6;1.6;1.59;1.5970716207457192;276163;441052.09;28/12/2023;1.6
28/12/2023;1.6;1.6;1.6;1.58;1.5959211048427444;115926;185008.75;27/12/2023;1.6
27/12/2023;1.6;1.6;1.61;1.58;1.59943150592369;133194;213034.68;26/12/2023;1.6
26/12/2023;1.58;1.6;1.6;1.58;1.5900550767683617;85517;135976.74;22/12/2023;1.57
22/12/2023;1.56;1.57;1.57;1.56;1.566016243920056;130141;203802.92;21/12/2023;1.53
21/12/2023;1.55;1.53;1.55;1.53;1.545432765720523;181403;280346.14;20/12/2023;1.5
20/12/2023;1.5;1.5;1.5;1.5;1.5;203292;304938;19/12/2023;1.5
19/12/2023;1.5;1.5;1.5;1.5;1.5005918826939195;99023;148593.11;18/12/2023;1.5
18/12/2023;1.5;1.5;1.5;1.5;1.4995378013325735;380767;570974.51;15/12/2023;1.5
15/12/2023;1.46;1.5;1.5;1.46;1.4858292455888966;382444;568246.48;14/12/2023;1.45
14/12/2023;1.4;1.45;1.45;1.4;1.4115256351426329;3210027;4531035.4;13/12/2023;1.4
13/12/2023;1.4;1.4;1.4;1.4;1.3999758118487968;588718;824190.96;12/12/2023;1.4
12/12/2023;1.4;1.4;1.4;1.4;1.3991513649073246;34691;48537.96;11/12/2023;1.4
11/12/2023;1.4;1.4;1.4;1.39;1.399684011845488;276561;387098.01;07/12/2023;1.4
07/12/2023;1.4;1.4;1.4;1.4;1.4000000000000001;72412;101376.8;01/12/2023;1.4
06/12/2023;;;;;1.3981267579223702;10666;14912.42;01/12/2023;1.4
05/12/2023;;;;;1.399266582779076;5563;7784.12;01/12/2023;1.4
04/12/2023;;;;;1.3980339321357285;16032;22413.28;01/12/2023;1.4
01/12/2023;1.4;1.4;1.4;1.4;1.3997039602744015;252331;353188.7;28/11/2023;1.38
30/11/2023;;;;;1.3856963193723317;8667;12009.83;28/11/2023;1.38
29/11/2023;;;;;1.3797389330306469;881;1215.55;28/11/2023;1.38
28/11/2023;1.37;1.38;1.38;1.37;1.3792705899803464;161802;223168.74;27/11/2023;1.38
27/11/2023;1.38;1.38;1.38;1.38;1.3799656357388317;72750;100392.5;24/11/2023;1.38
24/11/2023;1.38;1.38;1.38;1.38;1.3799710130924199;20699;28564.02;23/11/2023;1.36
23/11/2023;1.33;1.36;1.36;1.33;1.3441974445362659;62924;84582.28;22/11/2023;1.36
22/11/2023;1.36;1.36;1.36;1.36;1.3596868343154342;36147;49148.6;21/11/2023;1.37
21/11/2023;1.38;1.37;1.38;1.37;1.372985006926481;163142;223991.52;20/11/2023;1.38
20/11/2023;1.38;1.38;1.38;1.38;1.380007045372197;49678;68555.99;17/11/2023;1.38
17/11/2023;1.38;1.38;1.38;1.38;1.3799795052802368;35131;48480.06;16/11/2023;1.38
16/11/2023;1.38;1.38;1.4;1.36;1.3801793790405372;576656;795888.72;15/11/2023;1.39
15/11/2023;1.38;1.39;1.39;1.38;1.3828378243108403;4415594;6106050.4;13/11/2023;1.4
14/11/2023;;;;;1.3876100858761191;5473;7594.39;13/11/2023;1.4
13/11/2023;1.4;1.4;1.4;1.4;1.3998381778521787;19713;27595.01;10/11/2023;1.4
10/11/2023;1.38;1.4;1.4;1.38;1.3942067705754817;58577;81668.45;09/11/2023;1.4
09/11/2023;1.4;1.4;1.4;1.4;1.3999801204134954;17606;24648.05;07/11/2023;1.4
08/11/2023;;;;;1.4109756097560975;1927;2718.95;07/11/2023;1.4
07/11/2023;1.4;1.4;1.4;1.4;1.4001881325958536;106308;148851.2;06/11/2023;1.4
06/11/2023;1.4;1.4;1.4;1.4;1.4003674258702192;18616;26069.24;03/11/2023;1.4
03/11/2023;1.4;1.4;1.4;1.4;1.3999501300873096;267897;375042.44;02/11/2023;1.4
02/11/2023;1.4;1.4;1.4;1.4;1.4003001668797816;184564;258445;31/10/2023;1.4
31/10/2023;1.4;1.4;1.4;1.4;1.3999969063617577;323244;452540.6;30/10/2023;1.4
30/10/2023;1.4;1.4;1.4;1.4;1.3998790572774156;196622;275247.02;27/10/2023;1.41
27/10/2023;1.4;1.41;1.41;1.4;1.4011542573872473;164608;230641.2;26/10/2023;1.4
26/10/2023;1.4;1.4;1.4;1.4;1.4;16064;22489.6;25/10/2023;1.4
25/10/2023;1.4;1.4;1.4;1.4;1.4;72750;101850;24/10/2023;1.4
24/10/2023;1.4;1.4;1.4;1.4;1.3933563501849568;8110;11300.12;23/10/2023;1.4
23/10/2023;1.4;1.4;1.4;1.4;1.4;153957;215539.8;20/10/2023;1.41
20/10/2023;1.41;1.41;1.41;1.41;1.407672058599115;13106;18448.95;19/10/2023;1.41
19/10/2023;1.4;1.41;1.41;1.4;1.4089552396500726;2262069;3187153.97;18/10/2023;1.4
18/10/2023;1.42;1.4;1.42;1.4;1.408900014270085;126138;177715.83;17/10/2023;1.42
17/10/2023;1.42;1.42;1.42;1.4;1.4107133435770522;73541;103745.27;16/10/2023;1.42
16/10/2023;1.42;1.42;1.42;1.42;1.4317320195723573;14919;21360.01;11/10/2023;1.45
13/10/2023;;;;;1.4280672050013026;7678;10964.7;11/10/2023;1.45
12/10/2023;;;;;1.4362734192037472;3416;4906.31;11/10/2023;1.45
11/10/2023;1.45;1.45;1.46;1.42;1.4270157973504796;180410;257447.92;10/10/2023;1.45
10/10/2023;1.45;1.45;1.45;1.45;1.4638924135466;11191;16382.42;09/10/2023;1.42
09/10/2023;1.43;1.42;1.44;1.42;1.4276696403053932;195944;279743.3;06/10/2023;1.43
06/10/2023;1.43;1.43;1.43;1.41;1.4261478549900004;71002;101259.35;05/10/2023;1.42
05/10/2023;1.46;1.42;1.46;1.42;1.4401331995894373;42868;61735.63;04/10/2023;1.48
04/10/2023;1.48;1.48;1.48;1.48;1.4811475409836066;5368;7950.8;02/10/2023;1.5
03/10/2023;;;;;1.5058611361587015;2218;3340;02/10/2023;1.5
02/10/2023;1.5;1.5;1.5;1.5;1.502689674187767;21761;32700.03;29/09/2023;1.49
29/09/2023;1.48;1.49;1.49;1.48;1.4887820649850365;56136;83574.27;28/09/2023;1.48
28/09/2023;1.48;1.48;1.49;1.48;1.4872034318587581;40328;59975.94;27/09/2023;1.48
27/09/2023;1.48;1.48;1.48;1.48;1.4810302163947355;20287;30045.66;26/09/2023;1.48
26/09/2023;1.52;1.48;1.52;1.48;1.5081912307481082;123819;186742.73;25/09/2023;1.48
25/09/2023;1.48;1.48;1.48;1.48;1.479658547689506;61502;91001.96;22/09/2023;1.48
22/09/2023;1.48;1.48;1.5;1.47;1.4810205643768612;107127;158657.29;21/09/2023;1.47
21/09/2023;1.48;1.47;1.48;1.47;1.4800723662817759;156841;232136.03;20/09/2023;1.48
20/09/2023;1.5;1.48;1.5;1.48;1.4832804318887738;67610;100284.59;19/09/2023;1.49
19/09/2023;1.48;1.49;1.49;1.48;1.4833436229358559;60255;89378.87;18/09/2023;1.52
18/09/2023;1.52;1.52;1.52;1.52;1.5174629288409232;22794;34589.05;15/09/2023;1.5
15/09/2023;1.5;1.5;1.5;1.5;1.505449467620876;11458;17249.44;14/09/2023;1.48
14/09/2023;1.48;1.48;1.48;1.48;1.4836309523809523;11760;17447.5;13/09/2023;1.48
13/09/2023;1.49;1.48;1.49;1.48;1.488407135682781;45798;68166.07;12/09/2023;1.5
12/09/2023;1.5;1.5;1.5;1.49;1.4985573194306134;85355;127909.36;11/09/2023;1.5
11/09/2023;1.51;1.5;1.51;1.5;1.5051603368073956;84915;127810.69;08/09/2023;1.5
08/09/2023;1.51;1.5;1.51;1.5;1.5009772257658789;89048;133659.02;07/09/2023;1.51
07/09/2023;1.52;1.51;1.52;1.51;1.5128813385971729;48887;73960.23;06/09/2023;1.52
06/09/2023;1.52;1.52;1.52;1.52;1.52;20725;31502;05/09/2023;1.52
05/09/2023;1.52;1.52;1.52;1.51;1.5167270371044015;219920;333558.61;04/09/2023;1.54
04/09/2023;1.54;1.54;1.55;1.54;1.539454874197222;85173;131119.99;01/09/2023;1.55
01/09/2023;1.54;1.55;1.55;1.54;1.5493437592735473;168490;261048.93;31/08/2023;1.55
31/08/2023;1.52;1.55;1.55;1.52;1.537121623574694;131463;202074.62;29/08/2023;1.55
29/08/2023;1.55;1.55;1.55;1.55;1.549126026918371;17163;26587.65;28/08/2023;1.56
28/08/2023;1.56;1.56;1.56;1.53;1.5481295189067934;111891;173221.76;25/08/2023;1.55
25/08/2023;1.55;1.55;1.55;1.55;1.5493835402107021;38348;59415.76;24/08/2023;1.55
24/08/2023;1.55;1.55;1.56;1.55;1.5515223227877881;72258;112109.9;23/08/2023;1.56
23/08/2023;1.55;1.56;1.56;1.55;1.5502531580304202;135765;210470.12;22/08/2023;1.56
22/08/2023;1.55;1.56;1.56;1.55;1.5553680892769637;179576;279306.78;21/08/2023;1.53
21/08/2023;1.52;1.53;1.53;1.52;1.5213381542351454;98875;150422.31;18/08/2023;1.53
18/08/2023;1.53;1.53;1.53;1.52;1.5294266653314448;209703;320725.36;17/08/2023;1.53
17/08/2023;1.54;1.53;1.55;1.53;1.5361142857142858;78400;120431.36;16/08/2023;1.55
16/08/2023;1.55;1.55;1.55;1.54;1.5467064904884624;67129;103828.86;15/08/2023;1.55
15/08/2023;1.53;1.55;1.55;1.53;1.5483072435996788;141946;219776.02;14/08/2023;1.53
14/08/2023;1.55;1.53;1.55;1.53;1.5392928007112403;49491;76181.14;11/08/2023;1.55
11/08/2023;1.55;1.55;1.57;1.55;1.550360502189674;654892;1015318.69;10/08/2023;1.55
10/08/2023;1.55;1.55;1.55;1.55;1.5492943684782385;48779;75573.03;09/08/2023;1.55
09/08/2023;1.52;1.55;1.55;1.51;1.536690957356826;153694;236180.18;08/08/2023;1.55
08/08/2023;1.58;1.55;1.58;1.55;1.5515532511289831;496243;769947.44;07/08/2023;1.57
07/08/2023;1.57;1.57;1.57;1.57;1.572467218563055;16549;26022.76;04/08/2023;1.56
04/08/2023;1.56;1.56;1.56;1.56;1.5596305841399738;163745;255381.71;03/08/2023;1.53
03/08/2023;1.53;1.53;1.54;1.53;1.5310354774455266;164668;252112.55;02/08/2023;1.54
02/08/2023;1.54;1.54;1.54;1.54;1.5388770879146585;21373;32890.42;01/08/2023;1.53
01/08/2023;1.53;1.53;1.53;1.53;1.5292140798057956;13182;20158.1;31/07/2023;1.53
31/07/2023;1.53;1.53;1.53;1.53;1.5302733922116893;117304;179507.19;27/07/2023;1.53
27/07/2023;1.54;1.53;1.54;1.53;1.5391869373436171;38767;59669.66;26/07/2023;1.55
26/07/2023;1.53;1.55;1.55;1.53;1.5372682752030578;16744;25740.02;25/07/2023;1.53
25/07/2023;1.55;1.53;1.55;1.53;1.5481730688317152;320855;496739.07;21/07/2023;1.54
24/07/2023;;;;;1.5469426301853486;16995;26290.29;21/07/2023;1.54
21/07/2023;1.55;1.54;1.56;1.54;1.5460945709281961;74801;115649.42;20/07/2023;1.55
20/07/2023;1.55;1.55;1.55;1.55;1.552285238491733;42035;65250.31;19/07/2023;1.55
19/07/2023;1.55;1.55;1.57;1.55;1.5628031356946106;143764;224674.83;18/07/2023;1.55
18/07/2023;1.55;1.55;1.55;1.55;1.5521077072523515;42207;65509.81;17/07/2023;1.55
17/07/2023;1.64;1.55;1.64;1.55;1.567683977570837;80431;126090.39;14/07/2023;1.55
14/07/2023;1.56;1.55;1.56;1.55;1.556211691754497;109017;169653.53;13/07/2023;1.55
13/07/2023;1.54;1.55;1.56;1.54;1.5471981595614759;35209;54475.3;12/07/2023;1.54
12/07/2023;1.56;1.54;1.56;1.54;1.5525093181818184;44000;68310.41;11/07/2023;1.55
11/07/2023;1.56;1.55;1.56;1.54;1.550095599224337;161926;251000.78;10/07/2023;1.55
10/07/2023;1.56;1.55;1.56;1.55;1.5537232566466745;44684;69426.57;07/07/2023;1.55
07/07/2023;1.55;1.55;1.55;1.55;1.55;65539;101585.45;06/07/2023;1.55
06/07/2023;1.55;1.55;1.55;1.55;1.5495669001695296;31263;48444.11;05/07/2023;1.56
05/07/2023;1.58;1.56;1.58;1.56;1.572634914628955;274859;432252.86;04/07/2023;1.6
